symbol,year,growth_rate
EBAY,2015,0.010362377723684929
LMT,2018,0.012099605271315487
GILD,2017,0.007969382049687071
LVS,2022,0.021589623473486107
MAS,2015,0.01085211063671815
CL,2022,0.007437353075660009
PFE,2016,0.007260637163208847
MRK,2020,0.011151527357442285
VZ,2013,0.006954067035318362
MDLZ,2013,0.009810707611156724
BEN,2016,0.012406006482710012
ANTM,2018,0.012604650866219034
MDT,2016,0.007823222176154545
NKE,2020,0.012248689682160148
RMD,2017,0.007951082237484124
IR,2016,0.009268646889890507
EXPD,2019,0.008201570168737205
DG,2018,0.009734648927563422
ISRG,2016,0.008425318216159772
MRO,2013,0.009883863255216983
GNRC,2019,0.012897993123822239
CAT,2014,0.007282488715625824
MAS,2022,0.01029230850078338
DISCK,2019,0.012316866778880041
MRNA,2019,0.028522465353910984
ESS,2015,0.009332829770600739
COP,2013,0.006307628849422903
AMCR,2020,0.014251961824603811
PSX,2018,0.009162639997003301
MHK,2017,0.007138001954506705
MO,2021,0.009104157095838788
CBOE,2022,0.012659190591098357
DG,2017,0.009768010460941301
PEP,2015,0.00619305085788086
MTB,2013,0.00641053230042741
PAYX,2013,0.006990612031564868
APA,2016,0.018020251793089352
AAPL,2022,0.012359207587921566
BLL,2017,0.006080114139950943
SYF,2017,0.009778885296825041
CTSH,2018,0.00948099601471781
OXY,2017,0.007442368312708931
HIG,2013,0.0103130907254558
FIS,2020,0.013286569798991659
T,2021,0.007996313557054109
DGX,2016,0.008449881230342658
NVDA,2017,0.012545343540545153
FRT,2019,0.006555352857663447
ORCL,2014,0.008041997213117685
HST,2017,0.00913196941676092
TPR,2013,0.00890197291557372
AVGO,2013,0.010253575833388885
BAX,2020,0.012348947183578558
AXP,2016,0.008097019720120514
ABC,2021,0.010669595129979155
GILD,2018,0.01715499419307873
NWL,2019,0.01553654536537465
EL,2017,0.0072493586082590265
EQIX,2015,0.010743676150328261
NDAQ,2020,0.012778374369855315
NCLH,2015,0.011936540890096794
NWSA,2021,0.012406307049842785
ANET,2020,0.017108840462408584
AWK,2022,0.010770900938998388
K,2022,0.010823193126831436
AZO,2019,0.008587328137149694
CAH,2020,0.015443294946892967
ABMD,2020,0.01943626066034666
BWA,2017,0.00867506111503683
WFC,2017,0.007619355516814582
MAS,2017,0.00804180097497628
EXPD,2014,0.008156162505935134
HSIC,2013,0.006917697398623449
MO,2018,0.008285266716135104
LYV,2021,0.016816496408347106
CMCSA,2013,0.008267531204795057
CRM,2017,0.007345630095306255
CBOE,2020,0.01619974737410779
NI,2013,0.007563435555215892
FISV,2019,0.009121987999807813
CPB,2020,0.013341880520893398
MHK,2021,0.014121065866932337
EMN,2016,0.010892730451420477
CTXS,2013,0.010234643122935469
EIX,2015,0.009308938160715074
FMC,2016,0.013001980651757616
EOG,2016,0.013978115790795408
JPM,2015,0.007593978807618725
XOM,2016,0.007821162584203421
GOOGL,2020,0.012834170638665234
CAH,2013,0.007895358290759494
TAP,2019,0.009766139543039525
FAST,2015,0.009160019369224054
CHD,2018,0.008676950459803962
PRU,2018,0.009401107744290656
QCOM,2015,0.009628389557031741
BKNG,2020,0.01618721354569543
PLD,2015,0.008321664453603163
MAA,2015,0.00925191590663956
BLK,2017,0.006537662181778603
IPGP,2019,0.015828057787629368
IT,2018,0.010691001377709664
VMC,2013,0.012247678638383835
LNT,2017,0.005678776457872454
EXR,2021,0.010738838710553927
AAL,2016,0.01488226606620983
DIS,2018,0.008342912111083914
NKE,2013,0.007979321403567802
TGT,2017,0.009564915800847597
FBHS,2013,0.012811031235171867
PH,2015,0.008964839374780851
PFG,2017,0.007206099372720773
DISCK,2015,0.012578168491371042
URI,2013,0.015500525813862853
AON,2022,0.012511223141436495
TDG,2015,0.009024663452883157
VFC,2014,0.0075765542301335035
CZR,2021,0.020794906761630316
MOS,2020,0.024140828716869164
V,2014,0.007352588804212404
BXP,2021,0.010747714207915128
PHM,2017,0.009944869334492646
WM,2015,0.0066676949588044656
FAST,2017,0.009619575649171442
CDW,2021,0.010646792518328618
NTAP,2019,0.011668082338926484
WBA,2015,0.009995615248519912
CB,2018,0.009318056036868212
STT,2016,0.010452365103104969
DLTR,2019,0.010027834302748477
DISCA,2017,0.010654646241346651
ICE,2022,0.011017023468477077
CFG,2019,0.01045206177944503
CMA,2017,0.009767494745660162
AME,2020,0.01303780194157759
CMA,2020,0.02075541316575799
EQR,2013,0.008402488279580558
BIIB,2020,0.01752076223045096
DXCM,2022,0.022613157774329103
BAC,2016,0.011484358721739545
GOOGL,2021,0.008939422489004537
FOX,2019,0.010098342918701134
EFX,2013,0.00697050649764397
CNP,2016,0.009429296212267005
NSC,2015,0.010026123075855055
TSCO,2015,0.010434100963792393
ATO,2019,0.006450818364700244
LYB,2013,0.010231041364559183
CCL,2020,0.027692957648496927
ILMN,2013,0.014893263012956926
DE,2013,0.007758888523665671
ATVI,2014,0.009248139786679191
